;Asset1;Asset2;Asset3;Asset4;Asset5;Asset6;Asset7;Asset8;Asset9;Asset10;Asset11;Asset12;Asset13;Asset14;Asset15
0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
1;100.08;100.36;99.39;100.85;100.93;99.99;100.51;100.46;100.45;100.61;100.27;100.61;98.49;98.95;100.23
2;100.0;99.84;99.31;100.47;100.55;98.95;100.91;101.05;100.05;99.69;100.11;100.9;98.29;99.51;100.88
3;102.34;101.17;101.96;101.05;102.69;101.15;101.41;100.35;100.75;101.78;101.44;102.88;97.77;101.5;100.18
4;95.55;96.72;96.15;98.21;95.56;97.04;101.21;99.41;98.1;99.31;97.8;94.61;102.33;96.5;100.22
5;93.39;95.1;95.12;96.78;92.37;94.83;100.56;98.58;97.52;97.81;96.03;92.85;102.52;93.84;102.84
6;94.88;97.11;96.51;98.41;95.43;97.18;100.58;99.44;99.77;99.04;97.74;94.2;101.96;96.92;103.03
7;97.12;99.09;98.09;99.26;98.12;99.22;101.91;100.38;101.47;100.79;99.4;96.65;102.63;101.03;102.48
8;99.19;102.11;98.84;100.53;99.63;95.9;102.7;100.36;102.88;102.16;100.75;97.62;102.2;97.89;101.99
9;100.03;102.14;98.11;100.83;98.98;96.3;102.41;99.76;102.99;101.5;100.95;98.46;103.62;99.23;102.19
10;97.32;102.01;99.56;99.88;96.22;96.55;102.87;99.21;102.09;100.94;100.25;95.91;105.15;94.39;101.82
11;97.91;102.95;100.19;100.45;97.26;95.76;103.83;99.7;103.26;101.92;100.79;94.11;105.81;96.07;102.57
12;98.19;103.21;102.8;100.88;97.89;96.34;103.42;104.61;102.02;100.43;100.7;94.86;105.43;91.43;102.25
13;101.23;104.44;106.92;101.66;99.91;98.81;103.85;105.73;102.66;102.11;102.24;96.54;105.16;91.98;102.56
14;101.79;104.48;109.38;101.98;100.62;98.94;104.16;106.54;103.04;102.71;102.59;98.24;105.04;90.66;102.76
15;104.41;104.64;111.02;102.44;102.12;100.18;103.05;106.26;104.2;104.06;103.31;99.78;103.42;94.79;102.63
16;104.27;104.96;110.98;101.86;102.05;100.16;103.54;106.58;104.13;103.94;103.32;99.87;104.06;90.64;102.59
17;104.75;105.84;112.11;103.88;103.61;101.03;103.66;106.68;104.2;103.99;103.86;101.03;103.2;92.53;102.29
18;105.59;106.65;110.81;103.87;103.7;101.24;103.61;106.35;104.39;104.31;103.77;100.73;102.83;93.07;102.19
19;105.44;106.75;111.38;104.97;103.35;101.25;103.85;107.05;104.06;103.39;104.01;100.39;102.98;91.63;102.68
20;105.34;106.81;112.53;105.02;103.19;101.78;103.6;107.44;103.68;103.34;103.87;99.76;103.22;90.44;102.5
21;105.27;106.33;114.0;105.11;103.3;102.61;103.78;107.39;103.08;102.9;104.31;100.9;102.23;91.03;103.05
22;105.69;105.71;111.9;104.55;102.91;101.87;103.4;106.75;103.0;102.71;103.93;100.82;103.14;90.64;102.99
23;104.86;103.99;114.95;103.74;103.48;103.32;103.45;107.02;103.17;102.97;104.41;100.93;102.57;89.51;102.87
24;103.95;102.63;117.07;102.36;103.2;102.07;103.73;107.34;101.19;100.45;104.09;101.09;102.27;87.36;103.45
25;109.31;102.08;119.07;101.65;103.62;101.49;103.7;107.09;100.45;100.07;104.12;101.24;102.38;86.94;103.26
26;111.1;101.46;117.87;108.25;103.95;101.54;103.12;106.18;99.77;99.66;104.0;102.45;102.84;84.91;103.29
27;109.54;101.36;118.12;109.72;103.57;102.39;103.01;106.31;98.99;99.2;104.17;101.84;103.28;83.33;102.49
28;109.33;101.01;120.06;109.58;103.36;100.92;102.63;106.86;97.62;99.87;104.34;102.28;104.57;84.26;102.39
29;108.26;101.04;119.28;111.51;103.09;101.19;103.77;107.08;94.23;96.59;104.2;101.58;104.76;81.14;101.62
30;107.32;100.71;117.83;109.86;102.85;101.22;102.86;106.4;95.52;97.06;103.54;99.71;105.77;80.03;101.62
31;108.36;100.97;118.15;111.24;104.48;101.77;102.59;106.16;96.02;98.05;103.87;99.55;105.12;82.7;101.16
32;108.02;101.1;120.33;111.93;104.32;102.77;103.09;106.44;96.01;97.84;103.89;100.11;105.33;84.93;101.77
33;109.06;101.46;122.37;113.63;107.13;103.62;103.74;107.17;96.09;97.95;104.78;101.61;103.6;84.67;101.92
34;110.22;101.43;123.51;114.57;106.81;103.37;103.15;106.98;97.22;98.63;104.69;101.72;103.36;87.14;102.34
35;109.42;101.52;123.82;115.04;106.43;103.52;103.43;107.27;97.34;98.74;104.73;102.93;103.8;86.63;102.39
36;109.18;101.43;123.02;114.18;105.48;103.03;104.72;107.84;95.64;97.59;104.43;102.56;104.21;84.48;102.1
37;109.96;101.49;125.53;114.11;105.77;103.59;104.51;107.57;95.98;98.82;104.92;103.76;104.07;88.09;101.45
